name	term	lev	seq	value
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g61561	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g63497	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g56384	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g82479	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g82494	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g109370	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g77294	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g51794	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g123435	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g125041	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g74330	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g36907	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g28366	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g46496	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g144988	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g38052	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g153415	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g13777	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g35396	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g139689	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g53390	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g161797	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g120855	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g63274	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g118959	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g134831	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g116346	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g8880	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g126094	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g79658	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g23410	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g2078	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g65909	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g4208	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g161346	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g79659	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g26184	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g5096	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g26146	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g117852	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g117854	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g117853	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g99204	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g103103	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g115540	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g115604	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g117910	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g42890	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g69977	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g14684	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g55062	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g13778	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g88467	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g67958	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g85081	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g121188	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g154558	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g23271	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g154511	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g122016	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g78222	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g154149	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g68366	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g103632	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g143919	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g151063	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g152036	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g75704	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g146105	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g15828	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g124214	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g98747	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g103104	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g110948	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g140487	0.735157327346337
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g41542	0.596236080470594
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g42393	0.736236548386995
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g23270	0.595785178689664
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g93606	0.304900825489594
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g71855	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g8877	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g52464	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g64136	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g128439	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g29403	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g52167	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g15830	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g25774	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g26144	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g31399	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g78269	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g140436	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g79995	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g31612	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g58265	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g58286	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g80360	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g123438	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g42245	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g151832	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g125691	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g39618	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g81583	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g11120	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g24062	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g43599	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g151833	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g43222	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g79495	0.358947160941546
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g99429	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g154851	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g66052	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g115921	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g80854	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g48174	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g20786	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g91488	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g20775	0
"glycosyltransferase activity"	GO:0016758;GO:0016757	2	g43380	0
